hour_local,is_weekend,is_night,local_month,time_since_last_txn_min,txn_count_last_1h,txn_count_last_24h,card_txn_number,client_txn_number,is_first_card_txn,is_early_card_txn,is_new_client,card_age_days,amount_usd_log,amount_ratio_baseline,amount_zscore_customer,amount_vs_card_avg,is_online,is_cnp,pin_used,emv_used,is_international,distance_log,high_distance,mcc_high_risk,has_conversion,tx_declined,approved_int,bank_tier_enc,client_segment_enc,channel_enc,card_brand_enc,DE22_pos_entry_mode_enc,DE25_pos_condition_code_enc,DE39_response_code_enc,DE49_currency_code_transaction_enc,currency_tx_alpha_enc,DE60_pos_terminal_type_enc,is_fraud
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,4.716979861040097,0.13274961671138366,0.0,0.9999999909771724,0,0,1,1,0,2.3608540011180215,0,0,1,1,1,0,0,3,0,3,0,0,2,0,3,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,6.132508276338918,0.1919797823680528,0.0,0.9999999978241476,0,0,1,0,0,5.313205979041787,0,0,1,1,1,0,1,3,0,1,0,0,2,0,3,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,4.484357565771344,0.11506539895992016,0.0,0.9999999885870807,0,1,0,0,1,8.636574948436317,1,0,1,1,1,0,2,3,2,0,1,0,1,4,3,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,7.6782430582667445,1.2193554943317828,0.0,0.9999999995369985,1,1,0,0,0,1.4350845252893227,0,0,1,1,1,0,3,1,2,6,2,0,2,0,1,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,4.888542986851774,0.19930720476788333,0.0,0.9999999924104434,1,1,0,0,0,2.341805806147327,0,1,1,1,1,0,3,1,2,6,2,0,2,0,1,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,4.754279608575932,0.050723296220876415,0.0,0.9999999913103929,1,1,0,0,0,6.988413181999592,1,0,1,1,1,0,0,1,0,6,2,0,2,0,1,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,6.281556214153562,0.2942113765554961,0.0,0.9999999981260073,0,0,1,1,0,3.190476350346503,0,0,1,1,1,0,3,3,2,3,0,0,2,0,3,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,4.316821224548606,0.10066154851355767,0.0,0.9999999864773498,0,1,0,0,0,2.1972245773362196,0,0,1,1,1,0,2,3,2,0,1,0,2,0,3,0
0,0,1,1,145.31666666666666,0,1,2,2,0,1,1,0.10091435185185185,4.510089979737821,0.13838578133415405,-222.75977724022277,0.28760113758802286,1,1,0,0,1,8.697345730925353,1,0,1,1,1,0,3,1,2,6,2,0,4,5,1,0
0,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,5.9342061282677,0.20719353242039268,0.0,0.9999999973456495,1,1,0,0,0,6.1463292576688975,0,0,1,1,1,0,0,1,2,6,2,0,2,0,1,0
1,0,1,1,-1.0,0,0,1,1,1,1,1,0.0,6.296022173034405,0.2304460713373627,0.0,0.9999999981529709,1,1,0,0,0,1.7578579175523736,0,0,1,1,1,0,2,1,0,6,2,0,2,0,1,0
