feature,importance
time_since_last_txn_min,15960
distance_log,15013
card_age_days,12258
amount_zscore,11624
client_baseline_amount_log,10858
amount_ratio_baseline,10844
client_std_amount,10594
client_avg_amount,10129
client_tx_count,8347
amount_usd_log,8182
amount_local,7318
card_txn_number,6865
hour_local,5335
hour_sin,4958
hour_cos,4905
DE22_pos_entry_mode_enc,3479
client_segment_enc,3328
DE49_currency_code_transaction_enc,1971
DE39_response_code_enc,1463
channel_enc,1147
client_txn_number,954
mcc_high_risk,929
card_brand_enc,867
is_weekend,488
DE3_processing_code_enc,424
is_online,411
DE25_pos_condition_code_enc,353
is_international,333
bank_tier_enc,306
approved_int,122
high_distance,117
is_manual_entry,116
is_cnp,76
source_bank_enc,43
is_early_card_txn,27
amount_above_baseline,26
is_night,26
is_early_client_txn,7
is_first_card_txn,7
is_new_client,2
has_conversion,0
tx_declined,0
is_fallback,0
is_contactless,0
tx_weekday,0
tx_month,0
MTI_enc,0
