trial,roc_auc,pr_auc,best_threshold,f1_best,precision_best,recall_best,tn,fp,fn,tp,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_split_gain,min_child_samples,max_depth,learning_rate,colsample_bytree
18,0.8890626353009092,0.784067690488902,0.7922708112978625,0.8138316451269977,0.9410339256865913,0.7169230769230769,38303,73,460,1165,0.9,0.3,0.0,127,1400,0.1,60,9,0.03,0.85
4,0.8889455749587081,0.7840620856250747,0.8989171825939954,0.8108108108103229,0.9604043807919124,0.7015384615384616,38329,47,485,1140,0.8,0.1,0.1,95,800,0.01,90,11,0.045,0.95
15,0.8918481903753949,0.7895952098686385,0.8673206852793296,0.8104936140830421,0.9229559748427673,0.7224615384615385,38278,98,451,1174,0.7,0.1,0.05,95,1400,0.06,120,-1,0.015,0.65
12,0.8902930517470855,0.7870664834599367,0.8919866848130348,0.8101802757153117,0.9518272425249169,0.7052307692307692,38318,58,479,1146,0.85,0.7,0.7,127,800,0.06,60,11,0.03,0.75
30,0.8911998845432241,0.7888688706042207,0.8852843355709683,0.8101788170559031,0.9181605611847233,0.7249230769230769,38271,105,447,1178,0.9,0.1,0.0,63,500,0.03,120,-1,0.045,0.65
9,0.8889378618046536,0.7847890378670971,0.792023885112011,0.8101178101173181,0.9270420301348137,0.7193846153846154,38284,92,456,1169,0.85,0.1,0.7,95,1400,0.1,90,13,0.03,0.95
3,0.8903853369894645,0.7871795011163834,0.8848947921876023,0.8099861303739878,0.9277204130262113,0.7187692307692307,38285,91,457,1168,1.0,2.0,0.7,127,500,0.03,40,13,0.03,0.65
24,0.8924204550921249,0.7879986095173932,0.8717024334192506,0.8089655172408866,0.92,0.7218461538461538,38274,102,452,1173,0.7,0.0,0.3,127,500,0.0,40,13,0.03,0.75
7,0.8912139798912783,0.7868258547349798,0.8486229961173732,0.808149405772001,0.9015151515151515,0.7323076923076923,38246,130,435,1190,0.85,0.3,0.0,47,500,0.1,20,9,0.06,0.75
10,0.8935559564471384,0.789053572782022,0.9016250996307991,0.8075842696624312,0.9403107113654947,0.7076923076923077,38303,73,475,1150,0.85,2.0,0.7,47,1100,0.03,20,13,0.045,1.0
5,0.8921613989512677,0.7864832619869598,0.9118922774926783,0.8069429684727669,0.9507512520868113,0.7009230769230769,38317,59,486,1139,1.0,0.7,0.7,31,1400,0.06,40,7,0.03,0.85
17,0.8925510976411538,0.7873452766454494,0.9042163955751085,0.8068941259228306,0.9417077175697866,0.7058461538461539,38305,71,478,1147,0.85,1.0,0.05,31,800,0.03,120,9,0.02,0.65
27,0.8880731707317073,0.7845660878867428,0.9147435587980991,0.8068820224714199,0.9394930498773508,0.707076923076923,38302,74,476,1149,0.7,0.3,0.0,127,500,0.06,20,11,0.02,1.0
28,0.8908455925979379,0.7861726243390665,0.921026662509485,0.8065550409685186,0.9576988155668359,0.6966153846153846,38326,50,493,1132,0.8,0.0,0.7,31,1100,0.01,120,9,0.02,0.75
