feature,importance
distance_log,5766
amount_ratio_baseline,4722
client_baseline_amount_log,4459
amount_zscore,4373
client_std_amount,4113
client_avg_amount,3822
client_tx_count,3369
amount_usd_log,3348
amount_local,2973
hour_cos,1922
hour_local,1767
hour_sin,1575
client_segment_enc,1137
DE39_response_code_enc,1054
DE22_pos_entry_mode_enc,920
DE49_currency_code_transaction_enc,564
mcc_high_risk,275
channel_enc,121
is_weekend,89
approved_int,75
is_online,58
DE25_pos_condition_code_enc,53
DE3_processing_code_enc,17
card_brand_enc,14
is_international,11
is_cnp,10
bank_tier_enc,9
high_distance,9
is_manual_entry,8
amount_above_baseline,5
source_bank_enc,1
tx_declined,0
tx_weekday,0
is_night,0
tx_month,0
is_fallback,0
is_contactless,0
MTI_enc,0
has_conversion,0
