feature,importance
time_since_last_txn_min,3608
distance_log,3016
card_age_days,2416
amount_ratio_baseline,2326
amount_zscore,2217
card_txn_number,1868
client_baseline_amount_log,1845
client_tx_count,1716
client_std_amount,1657
client_avg_amount,1654
amount_usd_log,1560
amount_local,1365
hour_cos,1229
DE22_pos_entry_mode_enc,1202
DE39_response_code_enc,1192
hour_local,941
hour_sin,813
client_segment_enc,619
mcc_high_risk,446
DE49_currency_code_transaction_enc,405
card_brand_enc,219
channel_enc,150
DE3_processing_code_enc,129
is_online,121
is_weekend,77
bank_tier_enc,42
is_cnp,38
DE25_pos_condition_code_enc,27
is_international,22
amount_above_baseline,10
is_manual_entry,4
high_distance,2
approved_int,2
source_bank_enc,1
is_fallback,0
has_conversion,0
tx_declined,0
is_contactless,0
is_early_client_txn,0
is_new_client,0
is_early_card_txn,0
is_first_card_txn,0
client_txn_number,0
tx_weekday,0
tx_month,0
is_night,0
MTI_enc,0
